Serial,1,1000,1.767s
OpenMP,2,1000,1.5s
MPI,2,1000,2.198s
"
"
OpenMP,4,1000,1.021s
MPI,4,1000,1.577s
"
"
OpenMP,8,1000,7.222s
MPI,8,1000,6.441s
"
"
OpenMP,16,1000,2.818s
